"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","2349","","TestSuite","","CreateCourierTest","","duplicateCreationLoginTest on duplicateCreationLoginTest(CreateCourierTest)",""
"passed","","","377","","TestSuite","","CreateOrderTest$CreateOrdersTest","","creteOrderTest[3] on creteOrderTest[3](CreateOrderTest$CreateOrdersTest)",""
"passed","","","269","","TestSuite","","CreateCourierTest","","duplicateCreationCourierTest on duplicateCreationCourierTest(CreateCourierTest)",""
"passed","","","316","","TestSuite","","LoginCourierTest","","loginCourierTest on loginCourierTest(LoginCourierTest)",""
"passed","","","80","","TestSuite","","CreateCourierTest","","createCourierPassNullTest on createCourierPassNullTest(CreateCourierTest)",""
"failed","","","103","","TestSuite","","CreateCourierTest","","createCourierWithoutRequiredFirstNameTest on createCourierWithoutRequiredFirstNameTest(CreateCourierTest)",""
"passed","","","301","","TestSuite","","LoginCourierTest","","loginCourierWithoutLoginTest on loginCourierWithoutLoginTest(LoginCourierTest)",""
"passed","","","70","","TestSuite","","CreateCourierTest","","createCourierWithoutRequiredPasswordTest on createCourierWithoutRequiredPasswordTest(CreateCourierTest)",""
"failed","","","57","","TestSuite","","CreateOrderTest$CheckOrdersCourierTest","","checkOrderTest on checkOrderTest(CreateOrderTest$CheckOrdersCourierTest)",""
"passed","","","224","","TestSuite","","CreateCourierTest","","createCourierTest on createCourierTest(CreateCourierTest)",""
"passed","","","402","","TestSuite","","CreateOrderTest$CreateOrdersTest","","creteOrderTest[1] on creteOrderTest[1](CreateOrderTest$CreateOrdersTest)",""
"passed","","","323","","TestSuite","","LoginCourierTest","","loginCourierWithoutPassTest on loginCourierWithoutPassTest(LoginCourierTest)",""
"passed","","","378","","TestSuite","","CreateOrderTest$CreateOrdersTest","","creteOrderTest[2] on creteOrderTest[2](CreateOrderTest$CreateOrdersTest)",""
"passed","","","295","","TestSuite","","LoginCourierTest","","loginNoNCourierTest on loginNoNCourierTest(LoginCourierTest)",""
"failed","","","120","","TestSuite","","CreateCourierTest","","createCourierFirstNameNullTest on createCourierFirstNameNullTest(CreateCourierTest)",""
"passed","","","79","","TestSuite","","CreateCourierTest","","createCourierWithoutRequiredLoginTest on createCourierWithoutRequiredLoginTest(CreateCourierTest)",""
"passed","","","95","","TestSuite","","CreateCourierTest","","createCourierLoginNullTest on createCourierLoginNullTest(CreateCourierTest)",""
"passed","","","422","","TestSuite","","CreateOrderTest$CreateOrdersTest","","creteOrderTest[0] on creteOrderTest[0](CreateOrderTest$CreateOrdersTest)",""
